Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
"CIS IG3, CIS IG2",8.1.2,Data,Protect,4.11,"Remotely wipe enterprise data from enterprise-owned portable end-user devices when deemed appropriate such as lost or stolen devices, or when an individual no longer supports the enterprise.",Remediations,Process,False,,"AM, CM, MDM",,CAASM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",,"Show Configuration, Show Results",Control Supported,No,Partially,,"via MDM connectors: The following connnectors support this JAMF, Addigy, xDome, SOTIMobiControl, Intune, VMwareUEM",Enforce Remote Wipe Capability on Portable End-User Devices,,,
CIS IG3,8.1.2,Data,Protect,4.12,"Ensure separate enterprise workspaces are used on mobile end-user devices, where supported. Example implementations include using an Apple® Configuration Profile or Android™ Work Profile to separate enterprise applications and data from personal applications and data.",Posture,Technology,False,,"AM, CM, MDM",,CAASM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",configuration,"Show Configuration, Show Results",Unable to Meet,No,No,,,Separate Enterprise Workspaces on Mobile End-User Devices,,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Users,Identify,5.1,"Establish and maintain an inventory of all accounts managed in the enterprise. The inventory must include both user and administrator accounts. The inventory, at a minimum, should contain the person’s name, username, start/stop dates, and department. Validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently.",Inventory,Technology,False,Active Monitoring,"CAASM, IAM, CMDB, DS","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command","CNAPP, SIEM, CSP","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,"Deployed Technology, Show Results",Control Met,Yes,Yes,,Identity Inventory,Establish and Maintain an Inventory of Accounts,"PCI DSS scope is documented and confirmed by the entity at least once every 12 months and upon significant change to the in-scope environment. At a minimum, the scoping validation includes:
• Identifying all data flows for the various payment stages (for example, authorization, capture settlement, chargebacks, and refunds) and acceptance channels (for example, card-present, card-not-present, and e-commerce).
• Updating all data-flow diagrams per Requirement 1.2.4.
• Identifying all locations where account data is stored, processed, and transmitted, including but not limited to: 1) any locations outside of the currently defined CDE, 2) applications that process CHD, 3) transmissions between systems and networks, and 4) file backups.
• Identifying all system components in the CDE, connected to the CDE, or that could impact security of the CDE.
• Identifying all segmentation controls in use and the environment(s) from which the CDE is segmented, including justification for environments being out of scope.
• Identifying all connections from third-party entities with access to the CDE.
• Confirming that all identified data flows, account data, system components, segmentation controls, and connections from third parties with access to the CDE are included in scope.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Users,Protect,5.2,"Use unique passwords for all enterprise assets. Best practice implementation includes, at a minimum, an 8-character password for accounts using MFA and a 14-character password for accounts not using MFA. ",Posture,Technology,False,,"AM, CM, MDM",,"CAASM, VM, IAM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM","mfa, password, character","Show Scans, Show Results",Control Supported,Partially,Partially,,via policy scans in VM,Use Unique Passwords,"Vendor default accounts are managed as follows:
• If the vendor default account(s) will be used, the default password is changed per Requirement 8.3.6.
• If the vendor default account(s) will not be used, the account is removed or disabled.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Users,Protect,5.3,"Delete or disable any dormant accounts after a period of 45 days of inactivity, where supported.","Posture, Govern",Technology,False,Active Monitoring,"IAM, SOAR, CM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, insightConnect",CAASM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Surface Command, Vector Command, insightConnect, insightVM",,"Show Configuration, Show Remediations, Show Results",Control Met,Yes,Yes,,,Disable Dormant Accounts,Individuals are not allowed to submit a new password/passphrase that is the same as any of the last four passwords/passphrases used.,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Users,Protect,5.4,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.",Posture,Process,False,Active Monitoring,"IAM, CM, AM, MDM, CSP",,"CAASM, CNAPP, BAS, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",,"Show Configuration, Show Results",Control Supported,Yes,Yes,,maybe possibel via policy,Restrict Administrator Privileges to Dedicated Administrator Accounts,,,
"CIS IG3, CIS IG2",8.1.2,Users,Identify,5.5,"Establish and maintain an inventory of service accounts. The inventory, at a minimum, must contain department owner, review date, and purpose. Perform service account reviews to validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently.",Inventory,Technology,True,Active Monitoring,"CAASM, IAM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command","CNAPP, DM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,"Show Results, Show Scans",Control Met,Partially,Partially,,,Establish and Maintain an Inventory of Service Accounts,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:
• At least once every six months.
• To ensure user accounts and access remain appropriate based on job function.
• Any inappropriate access is addressed.
• Management acknowledges that access remains appropriate.",,
"CIS IG3, CIS IG2",8.1.2,Users,Govern,5.6,Centralize account management through a directory or identity service.,Inventory,Technology,False,,"IAM, DS",,"CAASM, CNAPP","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",identity,"Deployed Technology, Show Configuration",Control Supported,No,Yes,,,Centralize Account Management,,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Documentation,Govern,6.1,"Establish and follow a process, preferably automated, for granting access to enterprise assets upon new hire, rights grant, or role change of a user.",Govern,Process,True,,"IAM, IGA, IDP, DS",,,"DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",change,,Unable to Meet,No,No,,,Establish an Access Granting Process,"An access control model is defined and includes granting access as follows:
• Appropriate access depending on the entity’s business and access needs.
• Access to system components and data resources that is based on users’ job classification and functions.
• The least privileges required (for example, user, administrator) to perform a job function.",,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Documentation,Govern,6.2,"Establish and follow a process, preferably automated, for revoking access to enterprise assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user. Disabling accounts, instead of deleting accounts, may be necessary to preserve audit trails.",Govern,Process,True,,"IAM, IGA, IDP, DS",,GRC,"DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",change,"Show Configuration, Show Remediations",Control Supported,Yes,No,,,Establish an Access Revoking Process,"Addition, deletion, and modification of user IDs, authentication factors, and other identifier objects are managed as follows:
• Authorized with the appropriate approval.
• Implemented with only the privileges specified on the documented approval.",,
